X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,Id
-0.066764,0.69693,-0.36526,0.4759,-265.85,-0.39698,-0.066764,0.4102,0.92561,0.28588,-0.066764,-0.095798,0.069634,-0.066764,4462.6,0.081791,1.4349,-0.066764,-0.08156000000000001,84.135,0.96165,-0.069158,-0.08156000000000001,-0.39698,0.28588,0.081791,-0.78199,-0.54652,4.3572,0.8475799999999999,-0.08156000000000001,287.63,1.269,-0.099233,-0.069158,0.84375,?,0.28588,-0.084484,0.015551,0.41958,-0.084484,143.05,58.918,-0.35383,0.20515,77.876,-0.19292,-0.23568000000000003,0.4759,0.69693,0.78803,0.42774,0.42774,-8314.1,-0.08037000000000001,-0.23354,1.0804,0,4.3383,6.1951,310.75,1.1746,1.2248,3255
0.029936,0.36246,0.21448,1.745,34.96,0.029936,0.038677,1.7136,1.1366,0.62112,0.038677,0.13435,0.10563,0.038677,2371.5,0.15391,2.7589,0.038677,0.07323400000000001,118.17,?,0.048923,0.056684000000000005,0.038677,0.62112,0.1298,1.0529,0.43101,5.6623,0.66993,0.07323400000000001,226.14,1.614,0.13497,0.048923,0.53857,4.4435,0.6957,0.092636,0.030202,0.18046,0.092636,341.19,223.02,0.17508,1.1511,134.32,0.031812,0.060237,1.386,0.28789,0.61957,1.2482,1.398,98550.0,0.12019,0.048197,0.87981,0.12007,3.0887,1.6366,198.97,1.8345,1.0613,4275
0.12864,0.30222,0.36838,3.108,29.546,0.37569,0.15949,2.1255,1.095,0.64237,0.15949,0.91266,0.11134000000000001,0.15949,530.26,0.68834,3.3088,0.15949,0.085358,44.966,1.1264,0.15905,0.068846,0.46585,0.64237,0.58626,0.9321,0.80632,6.1424,0.15361,0.085358,37.381,9.7643,0.52625,0.15905,1.8892,2.455,0.76985,0.085121,0.099335,0.047864,0.085121,102.71,57.743,0.55884,1.7908,49.239,0.1105,0.059139,1.7971,0.17475,0.10241,1.406,1.6851,511290.0,0.086776,0.20025,0.91322,0.19844,8.1172,6.3211,34.137,10.692,4.0897,2213
-0.007831,0.88649,0.064996,1.0769,-203.26,-0.046435,-0.012681,0.12804,1.0841,0.11351,-0.008154,-0.015001,0.003074,-0.012681,97086,0.00376,1.128,-0.012681,-0.011696999999999999,243.5,0.81847,-0.11898,-0.007223,-0.070945,-0.054266,0.009231,-26.28,0.72501,4.5534,0.741,-0.007520999999999999,260.88,1.3991,1.3342,-0.098663,1.0841,91.952,0.11554,-0.09101000000000001,0.099018,-0.28699,-0.10975,278.32,34.818000000000005,-0.010827,0.22135,223.19,-0.13499,-0.12452,1.0269,0.84536,0.71474,1.2662,1.2889,2324.4,-0.09101000000000001,-0.068987,1.0102,0.017928,1.4989,10.483,284.62,1.2824,12.093,5387
-0.043961,1.028,-0.28736,0.32137,-110.49,-0.47891,-0.043961,-0.03894,0.9785,-0.040029,-0.043961,-0.10382,0.07333300000000001,-0.043961,4235.7,0.086173,0.97279,-0.043961,-0.036393,13.939,1.2865,-0.040482,-0.036393,-0.47891,-0.040029,0.086173,-0.32793,-0.33262,4.7748,0.83629,-0.036393,125.2,2.9154,-0.039381,-0.040482,1.2125,0.14879,0.56451,-0.033513,0.053147,0.3671,-0.033513,34.318000000000005,20.379,-0.95296,0.21242,13.639,-0.17303,-0.14324,0.13238,0.42344,0.343,-0.046334,0.65342,-17109.0,-0.021977,1.0982,1.022,-15.102,26.185,17.911,127.95,2.8527,1.3982,6786
0.1717,0.31706,0.035238,1.1391,-6.1082,0.30721,0.1717,1.8996,1.1412,0.60228,0.1717,0.67802,0.25632,0.1717,422.85,0.86319,3.154,0.1717,0.16080999999999998,14.93,1.103,0.1745,0.16080999999999998,0.30721,0.60228,0.86319,1.8651,0.049524,4.2962,0.24556,0.16080999999999998,98.791,3.6947,0.55037,0.1745,1.1202,3.8357,0.6661,0.16343,0.23922,0.037702,0.16343,77.906,62.975,3.9313,0.96668,17.038,0.072519,0.06791900000000001,0.90985,0.25324,0.27066,0.84647,0.93617,696.95,0.12372000000000001,0.28509,0.87628,0.10597,24.447,5.7959,86.569,4.2163,1.5006,1997
0.12462,0.6056,0.088932,1.2447,-6.1732,0,0.12462,0.65126,1.9407,0.3944,0.13417,0.34293,0.13479000000000002,0.12462,845.05,0.43193,1.6513,0.12462,0.064215,21.865,1.0511,0.12387,0.064215,0.25345,0.36983,0.43193,12.969,0.16238,4.0054,0.28079,0.06447699999999999,70.098,5.207,3.1246,0.048433,1.9407,2.027,0.5602,0.024957,0.1746,0.077396,0.063827,73.141,51.276,1.072,0.92482,22.425,-0.013087,-0.006744,0.74693,0.3634,0.19205,0.72015,1.0229,900.37,0.024957,0.31597,0.93858,0.42038,16.693,7.1183,68.34899999999999,5.3403,3.5436,6967
-0.088361,0.44895,0.20285,1.4797,-39.828,-0.29973,-0.088361,1.2274,1.6113,0.55105,-0.08609,-0.20897,-0.033672,-0.088361,-3020.2,-0.12085,2.2274,-0.088361,-0.054838,67.385,1.0793,0,-0.054838,-0.23434,0.078715,-0.12085,0,0.54194,3.8374,0.2672,-0.11613,164.16,2.2234,2.0941,0.079031,1.6113,?,0.55105,0.049047,0.056787,0.4388,0.0,136.29,68.90899999999999,-0.29704,0.77622,115.49,-0.034104,-0.021165,1.3937,0.42284,0.44976,1.4722,1.4722,1395.0,0.41653,-0.16035,0.5848800000000001,0,5.4167,5.2968,95.78299999999999,3.8107,4.3048,4350
0.15746,0.15326,0.50349,5.1195,79.536,0.40545,0.20004,4.8383,1.1495,0.74151,0.20004,1.6366,0.14349,0.20004,232.13,1.5724,6.5249,0.20004,0.11911,38.951,0.82271,0.202,0.09376,0.5113,0.74151,1.2946,1.3827,1.3452,4.4502,0.01082,0.11911,30.536,11.953,1.318,0.202,1.6849,14.387,0.77255,0.12028,1.1916,0.020739,0.12028,104.34,65.387,0.8786,3.6532,44.776,0.16105,0.095897,4.0828,0.12222,0.083662,1.9812,2.0641,14196.0,0.13009,0.21235,0.8699100000000001,0.041853,9.3708,5.5821,26.564,13.74,4.487,5545
0.105,0.68183,0.082906,1.1216,-1.2871,-0.15699,0.11922,0.46664,4.092,0.31817,0.11984,0.17488,0.043314,0.11922,1404.1,0.25995,1.4666,0.11922,0.029136000000000002,7.9157,?,0.11984,0.025661,0.11922,-0.051984,0.23909,195.22,0.35227,3.1129,0.14146,0.029192000000000003,62.549,5.8354,5.8347,0.11376,4.092,?,0.31817,0.027801,0.16307,0.12779,0.029285000000000002,58.288999999999994,50.373000000000005,1.1832,0.99144,8.142,0.061818,0.015106999999999999,1.1215,0.68175,0.17137,1.3519,1.3519,107.51,0.027801,0.33003,0.971,0,46.111,7.2459,60.81,6.0023,17.387,2386
