X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,Id
0.085346,0.072326,0.75595,11.871,279.16,0.085346,0.085346,12.826,1.0928,0.92767,0.085346,1.2274,0.123,0.085346,236.32,1.5445,13.826,0.085346,0.093972,51.756,?,0.065194,0.093972,0.085346,0.92767,1.5445,0.78447,4.3317,4.4531,-0.58968,0.093972,30.54,11.951,0.90138,0.065194,0.93619,249.71,0.93046,0.071783,8.7875,0.025972,0.071783,86.178,34.423,0.66272,10.019,56.56,0.038831,0.042756,11.413,0.069536,0.083672,5.3157,5.3317,21459.0,0.084945,0.092,0.91505,0.0030076,7.0524,10.603,27.946,13.061,5.2042,6415
0.14467,0.17004,0.37546,3.4165,36.191,0.037639,0.18044000000000002,4.8377,0.7660600000000001,0.82263,0.18183,1.1614,0.28129,0.18044000000000002,288.03,1.2672,5.8808,0.18044000000000002,0.23555,121.43,1.0958,0.17856,0.18885,0.59623,0.7887,1.0569,128.38,0.80025,4.7705,0.22197,0.23555,133.24,2.7952,2.554,0.34041,0.7660600000000001,18.809,0.8373,0.44437,0.52347,0.026536,0.23309,214.17,92.739,0.56765,1.7762,214.19,0.14352,0.18734,3.1217,0.15537,0.35776,1.7534,1.7846,3.4165,0.44437,0.17586,0.56103,0.017836,3.0059,3.9358,74.03,4.9305,1.6328,7094
0.10673,0.75646,0.0083,1.0248,-32.005,0.036986,0.13011,0.32194,1.0957,0.24354,0.1526,0.3889,0.17264,0.13011,1459.7,0.25005,1.3219,0.13011,0.11875,27.698,1.1502,0.15202,0.097415,0.24899,0.14416,0.21915,6.7573,0.012632,4.1378,0.68111,0.13755,116.39,3.136,1.3869,0.046523,1.0957,0.65873,0.63779,0.042461,0.069859,0.11947,0.13875,106.43,78.729,1.2837,0.77628,28.926,0.092974,0.084856,0.45322,0.33455,0.31888,0.37064,0.97064,114.0,0.042461,0.43827,0.89596,1.6188,13.178,4.6362,111.45,3.2751,1.6675,5744
0.41294,0.21516,0.39755,3.0448,321.58,0,0.41294,3.6478,2.2573,0.78484,0.43527,2.1239,0.19921,0.41294,174.64,2.09,4.6478,0.41294,0.18293,6.508,0.88731,0.43192,0.18293,1.0455,0.069003,2.09,19.345,0.97435,3.9126,0.042865,0.18374,38.525,9.5591,8.6382,0.41525,2.2573,40.282,0.79854,0.18396,0.64257,0.015303,0.19134,75.519,69.012,10.26,2.8377,7.9044,0.39518,0.17507,2.7514,0.19443,0.10461,1.9236,1.9571,3250.9,0.18396,0.52614,0.83323,0.017451,56.085,5.289,31.438,11.61,5.5324,3388
0.043049,0.50956,0.42119,2.1102,-59.308,0.013092,0.066347,0.96246,1.4338,0.49044,0.11399,0.17489,0.067556,0.066347,1920.2,0.19009,1.9625,0.066347,0.046274,147.49,1.0485,0.093095,0.030024,0.28067,0.28733,0.14437,1.9539,2.1118,3.883,0.33267,0.067339,105.64,3.4551,2.5723,0.12304,1.4338,7.789,0.51883,0.085816,0.22487,0.13741,0.064929,182.08,34.589,0.074302,0.58302,161.34,0.06258,0.043646,1.5711,0.37937,0.28943,2.4591,2.6014,3217.1,0.085816,0.087776,0.95564,0.057901,2.4747,10.553,96.576,3.7794,7.1891,7005
-0.070001,0.87117,-0.42582,0.40098,-58.889,-0.058527,-0.065485,0.13091,1.0086,0.11405,-0.065485,-0.09212,0.0034262,-0.065485,33003,0.01106,1.1479,-0.065485,-0.023286,1.8034,1.9972,0.023086,-0.024892,-0.054011,0.11405,0.0058755,0.082802,-0.59559,4.7899,0.29407,-0.023286,93.062,3.9221,0.0265,0.023086,2.8205,1.6914,0.27436,0.0082093,0.067921,0.29165,0.0082093,30.73,28.926,-5.0381,0.38143,1.819,-0.052034,-0.018503,0.32719,0.71086,0.25496,0.15952,0.38374,-26249.0,0.0085614,-0.61379,0.99144,1.4057,202.4,12.618,92.265,3.956,3.9333,2165
0.093412,0.57312,-0.11824,0.677,-57.811,0.28257,0.099117,0.7351,1.0898,0.4213,0.099117,0.27076,0.10562,0.099117,1319,0.27673,1.7448,0.099117,0.066008,21.983,1.0142,0.12484,0.062209,0.29651,0.4213,0.26678,0.90603,-0.1572,5.4325,0.37552,0.066008,96.972,3.764,0.21783,0.12484,1.5243,0.76019,0.62835,0.083139,0.033573,0.10222,0.083139,57.255,35.272,1.0329,0.42996,23.957,0.065357,0.043525,0.43243,0.36607,0.26568,0.56012,0.83538,-32010.0,0.082376,0.22172,0.91762,0.49145,16.604,10.348,88.984,4.1019,1.9963,2964
-0.08155,0.95836,-0.57801,0.28986,-334.62,-0.39013,-0.08155,0.043445,0.90387,0.041636,-0.081335,-0.10019,-0.087515,-0.08155,-4422.1,-0.082539,1.0434,-0.08155,-0.090222,51.105,1.1244,0,-0.090222,-0.10294,-0.47168,-0.082539,0,-0.75649,4.331,1.0603,-0.17923,375.68,0.97157,0.82516,0.0067459,0.90387,?,0.041636,0.0074633,0.034653,13.055,0,83.883,32.778,-0.64439,0.13438,58.412,-0.002447,-0.0027072,0.24618,0.81394,1.0293,0.054493,0.054493,-12386.0,0.1251,-1.9586,0.87516,0,7.1422,11.135,328.68,1.1105,1.183,5894
0.29713,0.30033,0.1402,1.6583,-2.2331,0,0.37649,2.3297,2.1116,0.69967,0.41315,1.7679,0.23457,0.37649,221.32,1.6492,3.3297,0.37649,0.1783,20.123,1.1549,0.40267,0.14072,0.99686,0.55987,1.385,10.985,0.21675,3.5535,0.10874,0.18177,43.591,8.3733,5.9375,0.32836,2.1116,?,0.69967,0.15551,0.49224,0.019197,0.1907,42.927,22.804,2.5524,1.1117,23.828,0.28385,0.13443,1.1759,0.21296,0.11943,1.0817,1.0817,501.44,0.15551,0.42467,0.8293,0,18.139,16.006,36.812,9.9151,3.2645,2792
0.072244,0.23645,0.46357,2.9606,51.443,0.15667,0.097358,2.6257,1.0732,0.62085,0.097358,0.41175,0.076223,0.097358,720.38,0.50667,4.2293,0.097358,0.061943,59.746,0.73005,0.092469,0.045965,0.22275,0.62085,0.40046,0.6314,1.5453,4.3006,0.013917,0.061943,58.93,6.1938,0.39107,0.092469,1.5881,?,0.62085,0.058832,0.90846,0.067648,0.058832,112.68,52.934,0.2808,1.8725,64.121,0.070024,0.044552,2.9606,0.23645,0.16145,2.0696,2.0696,9262.9,0.06822,0.11636,0.93178,0,6.1092,6.8954,54.91,6.6473,5.2394,9394
