X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,Id
0.11291,0.48211,-4.8509E-05,0.99987,-64.617,0,0.11291,1.0742,1.2035,0.51789,0.12125,0.29714,0.11946,0.11291,1223.9,0.29823,2.0742,0.11291,0.093819,44.533,1.1547,0.10646,0.093819,0.35641,0.48344,0.29823,12.768,-7.8234E-05,4.0593,0.38844,0.10075,125.74,2.9028,2.2879,0.10047,1.2035,12.38,0.53672,0.083484,0.15837,0.11703,0.088454,96.978,52.445,0.76895,0.61345,48.59,0.075591,0.062808,0.78809,0.38,0.3445,0.83523,0.8656,-0.556,0.083484,0.21803000000000003,0.91416,0.036358999999999995,8.1961,6.9597,115.24,3.1672,1.941,1872
0.00051762,0.055644,0.72674,14.061,233.69,0,0.00069204,16.971,0.69615,0.94435,0.00070216,0.012437,0.011874,0.00069204,2457,0.14855,17.971,0.00069204,0.00099409,142.13,0.89784,-0.0038011,0.00074354,0.18037,0.88809,0.14542,-375.33,3.3396,2.9487,-0.53047,0.0010086,28.808,12.67,12.67,-0.0088581,0.69615,?,0.94435,-0.012724,7.6895,0.4916,-0.0054602,185.87,43.749,0.0019095,9.189,140.34,-0.011375,-0.01634,14.061,0.055644,0.078927,4.3396,4.3396,645.84,-0.012724,0.00054812,0.99911,0.0,2.5681,8.3431,29.175,12.511,3.199,3804
0.086374,0.44711,0.22489,2.2667,-18.539,0,0.10688,1.2366,0.9141600000000001,0.55289,0.16284,0.60202,0.19813,0.10688,901.03,0.40509,2.2366,0.10688,0.11692,90.707,1.3367,0.12998,0.094485,0.32542,0.53179,0.35923,2.3227,0.37634,4.1311,0.4745,0.15697,83.218,4.3861,1.7416,0.13548,0.91416,0.65244,0.8215,0.1482,0.26655,0.072977,0.14219,141.78,51.077,0.3802,0.9871,106.49,0.055744,0.060978,0.90007,0.17754,0.228,0.92523,1.3747,3041.6,0.1482,0.15622,0.88822,0.48581,4.0239,7.1461,70.885,5.1492,1.5298,4203
0.07485,0.2839,0.24495,1.9203,13.107,0,0.093745,2.5223,3.0618,0.7161,0.11016,0.3522,0.059438,0.093745,569.42,0.64101,3.5223,0.093745,0.030618,16.504,1.0953,0.11013,0.024446,0.2579,0.70961,0.57445,6.7093,0.50105,4.1661,0.0776,0.032459,33.075,11.036,10.346,0.12444,3.0618,22.523,0.73264,0.040642,0.18443,0.047707,0.035968,55.08,38.576,0.54066,1.4002,17.203,0.021886,0.0071481,1.8003,0.26617,0.090616,1.4648,1.4986,3590.8,0.040642,0.10452,0.96942,0.023107,22.116,9.4619,31.731,11.503,6.2629,2571
-0.16144,0.55719,0.057176,1.1144,-101.71,-0.16144,-0.13855,0.79442,0.9023399999999999,0.44264,-0.13855,-0.2773,-0.078135,-0.13855,-2642.2,-0.13814,1.7947,-0.13855,-0.14064,125.47,1.358,-0.11997000000000001,-0.16388,-0.13855,0.44264,-0.17923,?,0.12901,4.4629,0.55258,-0.14064,167.04,2.1851,-0.21531,-0.11997000000000001,1.0238,3.79,0.50021,-0.12178,0.044891,-0.31372,-0.12178,198,72.527,-0.47674,0.43667,113.22,-0.18154,-0.18429,0.9993,0.49962,0.45765,0.99874,1.1286,1660.1,-0.10823,-0.36472,1.1082,0.13005,2.9091,5.0326,185.12,1.9717,2.2227,9290
0.11409,0.35697,0.088941,1.2492,-13.187,9.4738E-05,0.14268,1.8014,1.028,0.64303,0.16821,0.39971,0.20532,0.14268,617.33,0.59126,2.8014,0.14268,0.1388,40.765,1.0286,0.16598,0.11099,0.51356,0.24957,0.51117,6.503,0.16052,4.0504,0.20918,0.1474,153.72,2.3744,2.3744,0.18038,1.028,?,0.64303,0.17547,0.4051,0.050773,0.16146,106.98,66.216,0.99376,0.92753,49.44,0.097603,0.094947,1.2492,0.35697,0.42115,1.1605,1.1605,998.89,0.17547,0.17743,0.86157,0.0,8.9537,5.5122,126.75,2.8798,1.8552,9579
0.063555,0.21292,0.65996,5.4505,50.34,-0.27159,0.064153,3.6965,1.2219,0.78708,0.079345,0.43263,0.075117,0.064153,846.7,0.43108,4.6965,0.064153,0.052501,149.26,1.664,0.078087,0.052011,-0.012734,0.11243,0.42827,5.1402,3.4417,4.2123,0.074255,0.053646,47.247,7.7253,5.3802,0.076373,1.2219,7.6691,0.82731,0.062501,0.85059,0.067133,0.063904,203.75,54.491,0.12719,2.0808,159.21,0.050452,0.041288,3.7959,0.14829,0.12944,4.1047,4.3145,10761.0,0.062501,0.080748,0.94793,0.051117,2.4454,6.6984,44.294,8.2404,6.3725,2812
0.25307,0.52306,0.45998,1.9134,64.611,0,0.3145,0.91184,1.8819,0.47694,0.31505,0.62453,0.17347,0.3145,584.82,0.62413,1.9118,0.3145,0.16712,34.293,1.0223,0.29879,0.13448,0.83271,0.44742,0.50668,542.78,12.627,4.1318,0.15092,0.16741,116.07,3.1448,3.0277,0.29821,1.8819,76.314,0.48725,0.15846,0.47686,0.056109,0.15877,140.31,106.02,1.4313,1.5623,40.75,0.28684,0.15242,1.8422,0.50359,0.31799,13.093,13.376,6231.2,0.15846,0.53061,0.83523,0.021616,10.644,3.4427,97.674,3.7369,51.66,7757
0.15054,0.18139,0.72034,5.464,6.8502,0,0.18595,4.5128,1.9431,0.81861,0.20624,1.1524,0.11424,0.18595,298.26,1.2238,5.5128,0.18595,0.095698,57.807,1.2618,0.19232,0.077473,0.46261,0.77764,1.0285,9.48,6.0897,3.0866,0.05512,0.095743,33.548,10.88,9.6786,0.1875,1.9431,?,0.81861,0.096492,2.8145,0.026478,0.098976,80.31,22.503,0.48917,3.5569,63.981,0.15629,0.080432,4.8607,0.16137,0.091914,6.9204,6.9204,879.26,0.096492,0.1839,0.90523,0.0,6.3141,16.22,30.311,12.042,16.427,2211
0.16582,0.21100000000000002,0.73729,4.4943,50.17,0.16582,0.27102,2.7184,1.0551,0.5735899999999999,0.27102,1.2844,0.053706,0.27102,257.47,1.4176,4.7393,0.27102,0.04866,0,?,0.28268000000000004,0.029771,0.27102,0.5735899999999999,0.91905,?,14.279,3.5765,-0.0046341,0.04866,14.59,25.018,1.3397,0.28268000000000004,5.5768,?,0.5735899999999999,0.050755,1.1487,0.022321,0.050755,46.261,46.261,?,4.4943,0,0.25458000000000003,0.045709,4.4943,0.21100000000000002,0.039972,11.108,11.108,2780.3,0.052231,0.28908,0.94777,0,?,7.8899,13.828,26.396,107.86,7153
0.090231,0.65316,0.018588,1.0377,-72.731,-0.015804,0.090231,0.53103,1.2526,0.34684,0.090231,0.18302,0.072295,0.090231,2632.6,0.13864,1.531,0.090231,0.072035,53.235,1.2174,0,0.072035,?,0.2237,0.13864,?,0.038057,4.3517,0.47974,0.17055,195.78,1.8643,1.4072,0.085012,1.2526,5.067,0.41175,0.067869,0.1496,66.889,0,127.58,74.348,0.4939,0.66713,72.551,-0.00032549,-0.00025985,0.78326,0.493,0.53639,0.71015,0.84305,417.79,0.26623,0.26015,0.74057,0.18714,6.8563,4.9094,143.66,2.5408,2.5646,8180
