X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,Bankrupt,Id
0.23789,2.1163,-1.2382,0.41492,-242.48,-1.6242,0.23789,-0.52749,2.2844,-1.1163,0.23806,0.1124,0.11517,0.23789,2936,0.12432,0.47251,0.23789,0.10414,25.917,2.1132,0.17117,0.10414,-0.24688,-1.3691,0.12432,986.2,-10.16,2.7734,0.72222,0.10421,365.48,0.99869,0.99869,0.1708,2.2844,?,-1.1163,0.07477,0.22336,0.35923,0.074929,64.777,38.861,1.4666,0.33828,28.011,0.14595,0.063892,0.41492,2.1163,1.0013,-9.1596,-9.1596,-734.83,0.07477,-0.21309,0.89884,0.0,14.084,9.3925,338.15,1.0794,18.743,0,5365
-0.2515,1.2014,-0.53897,0.52182,-105.61,-0.16189,-0.2515,-0.16767,2.4623,-0.20145,-0.24531,-0.22313,-0.086414,-0.2515,-2061,-0.1771,0.83233,-0.2515,-0.10214,34.885,0.85529,0,-0.10214,-0.38984,-0.37186,-0.1771,0,-1.3087,3.2468,0.484,-0.20428,150.78,2.4207,2.271,0.10525,2.4623,40.782,-0.1928,0.042745,0.021696,1.0342,0,83.562,48.677,-1.0687,0.31303,31.482,-0.038724,-0.015727,0.48954,1.1271,0.4131,-0.48915,-0.46814,-951.34,-0.10811,1.2484,1.1122,-0.042947000000000006,10.463,7.4984,167.08,2.1845,5.9788,0,9783
-0.31437,1.2883,0.11088,1.5699,-57.36,-0.3813,-0.31437,-0.2238,0.29982,-0.28832,-0.27147,-1.6159,-1.0291,-0.31437,-1524,-0.2395,0.7762,-0.31437,-1.0485,177.11,1.6736,-0.29079,-1.0485,-0.70639,-0.64075,-0.2395,-6.778,0.15964,3.4943,4.2205,-0.91502,109.28,3.3399,0.50437,-0.34997,0.29982,0.16931,0.65641,-1.1673,0.46728,-0.1507,-0.96988,261.16,84.053,-2.1609,0.82216,81.719,-0.29662,-0.98931,0.23708,0.19456,0.29941,-0.41511,0.94507,346.09,-1.1673,1.0904,1.8176,-3.2767,2.0609,4.3425,236.85,1.5411,0.43167,0,8441
-0.087869,0.43492,0.51658,2.2067,39.247,0,-0.087869,1.2993,3.6628,0.56508,-0.087801,-0.20526,-0.0066398,-0.087869,-6527.3,-0.055919,2.2993,-0.087869,-0.023989,10.186,0.68886,-0.093211,-0.023989,0.024158,0.53797,-0.055919,-1375.1,9.3361,3.2658,0.042062,-0.023982,41.359,8.8251,8.6866,-0.11516,3.6628,?,0.56508,-0.031439,0.67805,-0.48875,-0.025448,65.211,55.025,-0.85964,1.9679,9.8754,-0.15676,-0.042797,2.1721,0.42809,0.11331,10.213,10.213,952.57,-0.031439,-0.1555,1.0237,0.0,35.834,6.6333,42.659,8.5562,66.199,0,6312
0.058138,0.56619,0.032252,1.0804,-28.421,0.35191,0.072931,0.5408,1.042,0.3062,0.072931,0.18173,0.092871,0.072931,1380.7,0.26436,1.7662,0.072931,0.045251,33.066,1.0879,0.085299,0.036072,0.43874,0.3062,0.23824,0.55146,0.056938,4.7061,0.34895,0.045251,94.698,3.8544,0.15066,0.085299,1.6413,1.744,0.47108,0.052925,0.015168,0.11487,0.052925,96.81,63.744,0.39819,0.71654,34.453,0.0085495,0.0053046,0.76576,0.40131,0.25945,0.54057,0.83165,1639.4,0.04027,0.18987,0.95973,0.53847,11.039,5.726,90.884,4.0161,2.8453,0,3517
0.029053,0.39553,0.15059,1.4504,-8.356,-0.025316,0.031557,1.5282,0.96896,0.60447,0.042217,0.094394,0.081478,0.031557,1828.7,0.1996,2.5282,0.031557,0.032568,36.481,1.2318,0.040671,0.029984,0.061991,0.28554,0.19327,3.8152,0.29235,4.7349,0.4082,0.032568,134.5,2.816,2.3802,0,0.96896,6.3389,0.66568,0,0.22045,0.14972,0.041974,154.9,118.42,0.3,1.1608,37.547,-0.0067202,-0.0069355,1.2259,0.33432,0.35511,1.1735,1.2923,1.4504,0.063692,0.048063999999999996,0.96792,0.10128,10.005,3.0823,125.93,2.8983,1.8811,0,7822
0.082362,0.18131,0.67482,4.7219,70.052,0,0.10183,4.5154,1.7543,0.81869,0.14839,0.56164,0.070547,0.10183,534.74,0.68257,5.5154,0.10183,0.058048,75.067,1.0791,0.11238,0.04695,0.41121,0.66719,0.5752,2.4136,4.6906,3.8196,-0.039298,0.059297,40.456,9.0221,9.0221,0.11846,1.7543,?,0.81869,0.067526,1.3802,0.044999,0.064061,126.06,50.997,0.22829,2.7321,80.503,0.090453,0.051562,4.7219,0.18131,0.11084,5.6906,5.6906,4454.2,0.067526,0.1006,0.94348,0.0,4.8623,7.1573,37.724,9.6755,12.194,0,8306
-0.001615,0.17722,0.078683,1.444,-136.92,0.015213,-0.0014194,4.6427,0.19832,0.82278,0.065318,-0.0080096,0.025705,-0.0014194,12689,0.028766,5.6427,-0.0014194,-0.0071573,226.18,0.75592,0.065318,-0.0081434,-0.0011531,0.013594,0.027663,0.97873,0.10574,2.4722,0.30996,0.32936,486.32,0.75054,0.75054,0.065315,0.19832,?,0.82278,0.32934,0.67513,0.082233,0.32936,250.77,24.591,-0.013141,0.75052,337.24,0.058801,0.29649,1.444,0.17722,1.3324,1.1057,1.1057,23.337,0.32932,-0.0019629,1.0072,0.0,1.6137,14.843,326.16,1.1191,0.26653,0,9541
0.027366,0.74448,0.031075,1.0816,-17.421,0,0.031788,0.34323,1.4702,0.25552,0.51551,0.083518,0.06213,0.031788,2974.9,0.12269,1.3432,0.031788,0.021622,21.363,1.8122,0.035087,0.018614,0.097217,0.24573,0.11675,0.072536,0.052821,3.8221,0.49996,0.03045,96.879,3.7676,1.9262,0.036173,1.4702,5.6128,0.31354,0.024605,0.055176,0.26221,0.023866,96.997,75.633,0.31803,0.85557,21.902,-0.024466,-0.016642,0.55299,0.38061,0.26542,0.43433,0.53295,206.3,0.024605,0.1071,0.98607,0.22705,17.085,4.8259,94.495,3.8626,2.4989,0,9342
0.073511,0.4343,0.21668,1.4989,0.88683,0.43825,0.092386,1.3025,1.8658,0.5657,0.11558,0.21272,0.077297,0.092386,1099.2,0.33207,2.3025,0.092386,0.049516,31.754,1.2885,0.11494,0.039399,0.15618,0.49473,0.28861,4.9564,0.62083,3.8022,0.22657,0.049516,90.314,4.0414,4.0414,0.1106,1.8658,?,0.5657,0.059277,0.14214,0.086806,0.061602,115.27,83.519,0.45288,1.1252,33.755,0.063103,0.033821,1.4989,0.4343,0.24744,1.6208,1.6208,1374.0,0.059277,0.12995,0.95062,0.0,11.495,4.3703,84.961,4.2961,5.3459,0,7455
